origin_lat,origin_lon,dest_lat,dest_lon,base_duration_s,distance_m,timestamp,actual_duration_s
1.299651,103.798032,1.380471,103.755211,1641.0,15655.0,2026-02-21T00:05:02,1641.0
1.343741,103.741479,1.326727,103.810689,1104.0,9981.0,2026-02-21T00:05:02,1104.0
1.373684,103.871417,1.444573,103.829993,1560.0,13037.0,2026-02-21T00:05:03,1560.0
1.360929,103.892551,1.331815,103.947574,1178.0,11051.0,2026-02-21T00:05:04,1178.0
1.331367,103.85587,1.277368,103.818652,1148.0,12465.0,2026-02-21T00:05:04,1148.0
1.376071,103.880924,1.395502,103.885784,506.0,3699.0,2026-02-21T00:05:04,506.0
1.300589,103.824479,1.333563,103.886388,932.0,9471.0,2026-02-21T00:05:05,932.0
1.311073,103.794876,1.340534,103.771576,694.0,5827.0,2026-02-21T00:05:06,694.0
1.383047,103.770464,1.445612,103.796777,1339.0,12554.0,2026-02-21T00:05:06,1339.0
1.33441,103.875537,1.315989,103.889448,543.0,4214.0,2026-02-21T00:05:07,543.0
1.340788,103.775215,1.304511,103.79146,802.0,6652.0,2026-02-21T00:05:07,802.0
1.305105,103.91266,1.301895,103.887506,483.0,3394.0,2026-02-21T00:05:08,483.0
1.314139,103.824251,1.389305,103.907599,1695.0,15773.0,2026-02-21T00:05:08,1695.0
1.301529,103.82909,1.3169,103.880328,876.0,7290.0,2026-02-21T00:05:09,876.0
1.354776,103.93398,1.331222,103.9138,756.0,4812.0,2026-02-21T00:05:10,756.0
1.331815,103.947574,1.321138,103.938106,283.0,2327.0,2026-02-21T00:05:11,283.0
1.362138,103.841286,1.375725,103.849934,373.0,2879.0,2026-02-21T00:05:12,373.0
1.324275,103.892702,1.392908,103.890675,1217.0,9939.0,2026-02-21T00:05:12,1217.0
1.345087,103.717978,1.373007,103.837612,1856.0,20285.0,2026-02-21T00:05:20,1856.0
1.279231,103.846619,1.288365,103.811949,625.0,5004.0,2026-02-21T00:05:21,625.0
1.320131,103.840794,1.37424,103.839489,1022.0,8165.0,2026-02-21T00:05:21,1022.0
1.348841,103.949335,1.356313,103.935484,334.0,2584.0,2026-02-21T00:05:22,334.0
1.387763,103.761356,1.382477,103.752528,467.0,2949.0,2026-02-21T00:05:23,467.0
1.360189,103.880971,1.419191,103.841581,1548.0,14975.0,2026-02-21T00:05:23,1548.0
1.331668,103.850487,1.380708,103.8465,854.0,6816.0,2026-02-21T00:05:24,854.0
1.386428,103.826664,1.43975,103.800721,1055.0,9784.0,2026-02-21T00:05:24,1055.0
1.392848,103.745914,1.383721,103.763128,516.0,3791.0,2026-02-21T00:05:32,516.0
1.398468,103.744646,1.395399,103.898745,2082.0,25256.0,2026-02-21T00:05:32,2082.0
1.332908,103.866169,1.291146,103.849834,723.0,5960.0,2026-02-21T00:05:40,723.0
1.364757,103.892622,1.365628,103.871831,470.0,3336.0,2026-02-21T00:05:40,470.0
1.343488,103.737738,1.416005,103.844252,2153.0,25964.0,2026-02-21T00:05:41,2153.0
1.379395,103.839157,1.398471,103.907769,1258.0,10167.0,2026-02-21T00:05:41,1258.0
1.327948,103.870282,1.371323,103.874086,808.0,7895.0,2026-02-21T00:05:42,808.0
1.351578,103.718511,1.339783,103.700668,492.0,3162.0,2026-02-21T00:05:42,492.0
1.390612,103.879964,1.416005,103.844252,1170.0,9299.0,2026-02-21T00:05:43,1170.0
1.347364,103.87677,1.333726,103.855718,590.0,4484.0,2026-02-21T00:05:43,590.0
1.347364,103.87677,1.365628,103.871831,346.0,2572.0,2026-02-21T00:05:44,346.0
1.309235,103.886827,1.329436,103.870868,540.0,4057.0,2026-02-21T00:05:44,540.0
1.306206,103.799132,1.442533,103.789612,1916.0,20911.0,2026-02-21T00:05:45,1916.0
1.354303,103.950965,1.32242,103.949903,760.0,5296.0,2026-02-21T00:05:45,760.0
1.325922,103.92581,1.371711,103.871233,1428.0,11341.0,2026-02-21T00:05:46,1428.0
1.358359,103.872182,1.390234,103.860062,663.0,6519.0,2026-02-21T00:05:46,663.0
1.356289,103.75041,1.379394,103.752949,529.0,3794.0,2026-02-21T00:05:47,529.0
1.381155,103.751904,1.357876,103.759941,617.0,4625.0,2026-02-21T00:05:48,617.0
1.445653,103.831433,1.345512,103.758897,2047.0,19169.0,2026-02-21T00:05:48,2047.0
1.309568,103.913675,1.436781,103.843619,2177.0,22407.0,2026-02-21T00:05:49,2177.0
1.303056,103.796483,1.292703,103.810959,407.0,3251.0,2026-02-21T00:05:49,407.0
1.301211,103.872905,1.300614,103.842228,797.0,6284.0,2026-02-21T00:05:50,797.0
1.357946,103.845494,1.378292,103.837252,692.0,4932.0,2026-02-21T00:05:51,692.0
1.374448,103.951823,1.348692,103.950428,610.0,4998.0,2026-02-21T00:05:51,610.0
1.29319,103.811253,1.31949,103.841975,735.0,5818.0,2026-02-21T00:05:52,735.0
1.317035,103.87931,1.356605,103.883651,815.0,6553.0,2026-02-21T00:05:52,815.0
1.3568,103.886248,1.390612,103.879964,934.0,6808.0,2026-02-21T00:05:53,934.0
1.312229,103.922621,1.314137,103.898749,513.0,4065.0,2026-02-21T00:05:53,513.0
1.336676,103.783709,1.281821,103.847398,1380.0,11930.0,2026-02-21T00:05:54,1380.0
1.347091,103.854878,1.389305,103.907599,1265.0,11227.0,2026-02-21T00:05:54,1265.0
1.327925,103.723339,1.347793,103.719591,364.0,2689.0,2026-02-21T00:05:55,364.0
1.408748,103.905169,1.381248,103.945639,754.0,7888.0,2026-02-21T00:05:56,754.0
1.385298,103.900029,1.323537,103.884481,1069.0,11730.0,2026-02-21T00:05:56,1069.0
1.382345,103.94237,1.39316,103.88566,931.0,9276.0,2026-02-21T00:05:57,931.0
1.424255,103.845482,1.349936,103.875056,1448.0,13454.0,2026-02-21T00:05:58,1448.0
1.37748,103.89034,1.3806,103.867424,622.0,3829.0,2026-02-21T00:05:58,622.0
1.443376,103.772918,1.430449,103.772774,444.0,2647.0,2026-02-21T00:05:59,444.0
1.368749,103.948913,1.379735,103.96224,371.0,2532.0,2026-02-21T00:06:00,371.0
1.376295,103.882146,1.328851,103.869185,881.0,6488.0,2026-02-21T00:06:00,881.0
1.314618,103.865922,1.293069,103.827034,831.0,6423.0,2026-02-21T00:06:01,831.0
1.293273,103.799915,1.300589,103.824479,590.0,4282.0,2026-02-21T00:06:02,590.0
1.377909,103.942281,1.338475,103.849513,1445.0,16865.0,2026-02-21T00:06:02,1445.0
1.32613,103.927924,1.345178,103.790537,1723.0,19304.0,2026-02-21T00:06:03,1723.0
1.434998,103.831125,1.348486,103.752598,2118.0,18018.0,2026-02-21T00:06:04,2118.0
1.303723,103.83524,1.316693,103.838324,321.0,2393.0,2026-02-21T00:06:04,321.0
1.293818,103.804887,1.28668,103.813766,354.0,2341.0,2026-02-21T00:06:05,354.0
1.28668,103.813766,1.297338,103.814907,308.0,1825.0,2026-02-21T00:06:05,308.0
1.375025,103.752113,1.350023,103.746498,503.0,3818.0,2026-02-21T00:06:06,503.0
1.387216,103.829163,1.441767,103.824495,959.0,8202.0,2026-02-21T00:06:07,959.0
1.348292,103.941192,1.331434,103.936865,464.0,2931.0,2026-02-21T00:06:08,464.0
1.376677,103.838361,1.424988,103.844748,972.0,8013.0,2026-02-21T00:06:08,972.0
1.322612,103.920876,1.332536,103.867037,923.0,8835.0,2026-02-21T00:06:09,923.0
1.297526,103.852133,1.311894,103.841977,367.0,2944.0,2026-02-21T00:06:09,367.0
1.35292,103.929501,1.352774,103.942492,335.0,2412.0,2026-02-21T00:06:10,335.0
1.35496,103.958521,1.326597,103.885052,1120.0,11571.0,2026-02-21T00:06:11,1120.0
1.446799,103.80549,1.342764,103.855873,1845.0,20211.0,2026-02-21T00:06:11,1845.0
1.357397,103.84943,1.310045,103.769124,1634.0,13835.0,2026-02-21T00:06:12,1634.0
1.33441,103.875537,1.358857,103.889428,643.0,5295.0,2026-02-21T00:06:12,643.0
1.344062,103.766278,1.346775,103.753336,336.0,2259.0,2026-02-21T00:06:13,336.0
1.353357,103.95462,1.374159,103.897685,1146.0,12093.0,2026-02-21T00:06:13,1146.0
1.37067,103.897529,1.39222,103.886427,506.0,4063.0,2026-02-21T00:06:14,506.0
1.402483,103.744473,1.441682,103.785985,1302.0,9465.0,2026-02-21T00:06:14,1302.0
1.425962,103.829779,1.444175,103.813886,524.0,3708.0,2026-02-21T00:06:15,524.0
1.2968,103.802389,1.43084,103.793416,1863.0,20424.0,2026-02-21T00:06:15,1863.0
1.383827,103.901684,1.395522,103.902214,257.0,1759.0,2026-02-21T00:06:16,257.0
1.33239,103.801672,1.284786,103.832182,965.0,8233.0,2026-02-21T00:06:17,965.0
1.403412,103.915952,1.415582,103.905606,504.0,3157.0,2026-02-21T00:06:17,504.0
1.319656,103.764455,1.283661,103.817073,1042.0,8949.0,2026-02-21T00:06:18,1042.0
1.392198,103.898456,1.379593,103.773855,1909.0,23925.0,2026-02-21T00:06:18,1909.0
1.428021,103.780897,1.331367,103.85587,1658.0,20283.0,2026-02-21T00:06:19,1658.0
1.32358,103.885439,1.348495,103.875567,659.0,4697.0,2026-02-21T00:06:19,659.0
1.360337,103.843963,1.376997,103.874738,705.0,5370.0,2026-02-21T00:06:20,705.0
1.326985,103.935848,1.325211,103.913195,479.0,3590.0,2026-02-21T00:06:20,479.0
1.323034,103.915442,1.315427,103.909938,229.0,1552.0,2026-02-21T00:06:21,229.0
1.376783,103.940314,1.434998,103.831125,1930.0,19736.0,2026-02-21T00:06:21,1930.0
1.402128,103.913578,1.327725,103.806972,1905.0,22785.0,2026-02-21T00:06:22,1905.0
1.354293,103.937595,1.348692,103.950428,417.0,2734.0,2026-02-21T00:06:23,417.0
1.40176,103.899944,1.318262,103.881337,1216.0,14986.0,2026-02-21T00:06:23,1216.0
1.439497,103.791761,1.431511,103.774428,323.0,2535.0,2026-02-21T00:06:24,323.0
1.43209,103.846198,1.335788,103.847992,1603.0,14141.0,2026-02-21T00:06:24,1603.0
1.311821,103.910557,1.441767,103.824495,2141.0,25073.0,2026-02-21T00:06:32,2141.0
