scenario_id,scenario_label,factor_changed,factor_value,travel_time_source,model_version,source_dataset_id,scenario_dataset_id,num_vehicles,vehicle_capacity,workday_start,workday_end,allow_drop_visits,service_time_scale,time_window_mode,makespan_seconds,total_distance_m,served_stops,total_stops,on_time_rate,late_stops,dropped_stops,solver_status,solve_time_seconds,feasible,objective_value,sum_vehicle_duration_seconds,avg_waiting_seconds
BASE_CASE,Nominal base case,base_case,nominal,fallback_baseline,fallback_v1,3,8,2,20,08:00,18:00,True,1.0,original,15760.0,18359.6,12,12,1.0,0,0,SUCCESS,8.001665900000262,True,9042.0,15760.0,559.8333333333334
BASE_CASE,Nominal base case,base_case,nominal,calibrated_ml,v20260315063821017757,3,8,2,20,08:00,18:00,True,1.0,original,15338.0,18359.6,12,12,1.0,0,0,SUCCESS,8.001687999999376,True,8056.0,15338.0,606.8333333333334
FLEET_1,Fleet size 1,fleet_size,1,fallback_baseline,fallback_v1,3,9,1,20,08:00,18:00,True,1.0,original,15760.0,18359.6,12,12,1.0,0,0,SUCCESS,7.999887900000431,True,9042.0,15760.0,559.8333333333334
FLEET_1,Fleet size 1,fleet_size,1,calibrated_ml,v20260315063821017757,3,9,1,20,08:00,18:00,True,1.0,original,15338.0,18359.6,12,12,1.0,0,0,SUCCESS,8.000829300000078,True,8056.0,15338.0,606.8333333333334
FLEET_2,Fleet size 2,fleet_size,2,fallback_baseline,fallback_v1,3,10,2,20,08:00,18:00,True,1.0,original,15760.0,18359.6,12,12,1.0,0,0,SUCCESS,7.999702999999499,True,9042.0,15760.0,559.8333333333334
FLEET_2,Fleet size 2,fleet_size,2,calibrated_ml,v20260315063821017757,3,10,2,20,08:00,18:00,True,1.0,original,15338.0,18359.6,12,12,1.0,0,0,SUCCESS,8.001100499999666,True,8056.0,15338.0,606.8333333333334
FLEET_3,Fleet size 3,fleet_size,3,fallback_baseline,fallback_v1,3,11,3,20,08:00,18:00,True,1.0,original,15760.0,18359.6,12,12,1.0,0,0,SUCCESS,8.000310899999931,True,9042.0,15760.0,559.8333333333334
FLEET_3,Fleet size 3,fleet_size,3,calibrated_ml,v20260315063821017757,3,11,3,20,08:00,18:00,True,1.0,original,15338.0,18359.6,12,12,1.0,0,0,SUCCESS,8.00028629999997,True,8056.0,15338.0,606.8333333333334
CAPACITY_8,Capacity 8,vehicle_capacity,8,fallback_baseline,fallback_v1,3,12,2,8,08:00,18:00,True,1.0,original,13736.0,21450.6,12,12,1.0,0,0,SUCCESS,8.00011540000014,True,9607.0,26723.0,1426.3333333333333
CAPACITY_8,Capacity 8,vehicle_capacity,8,calibrated_ml,v20260315063821017757,3,12,2,8,08:00,18:00,True,1.0,original,13406.0,21625.6,12,12,1.0,0,0,SUCCESS,8.000974600000518,True,8322.0,25488.0,1430.5
CAPACITY_20,Capacity 20,vehicle_capacity,20,fallback_baseline,fallback_v1,3,13,2,20,08:00,18:00,True,1.0,original,15760.0,18359.6,12,12,1.0,0,0,SUCCESS,7.999758499999189,True,9042.0,15760.0,559.8333333333334
CAPACITY_20,Capacity 20,vehicle_capacity,20,calibrated_ml,v20260315063821017757,3,13,2,20,08:00,18:00,True,1.0,original,15338.0,18359.6,12,12,1.0,0,0,SUCCESS,8.001221299999997,True,8056.0,15338.0,606.8333333333334
