point_id,lat,lon,dataset_source
pt_002770d62294969c,1.401962,103.751987,Child Care Services
pt_0083fd6252a36971,1.328806,103.879236,Child Care Services
pt_008ed3ceeb4866aa,1.430840,103.793416,Child Care Services
pt_00ac98e0d8cfffdb,1.280251,103.814062,Child Care Services
pt_00d933b481360d14,1.393747,103.914002,Child Care Services
pt_011c6c2912a08eed,1.282535,103.829470,Child Care Services
pt_01380142292094bb,1.355829,103.741594,Child Care Services
pt_015a0af4912f32f4,1.340344,103.687842,Child Care Services
pt_01731ead04aa17d6,1.308666,103.881431,Child Care Services
pt_0173cff85dfd446b,1.407176,103.904437,Child Care Services
pt_017a0890591e2670,1.327483,103.721044,Child Care Services
pt_019750645753b1c8,1.311171,103.905756,Child Care Services
pt_0262132905b3cfc9,1.301529,103.829090,Child Care Services
pt_0267066db0ce84a8,1.376442,103.890134,Child Care Services
pt_02dfcfe4480a8510,1.439863,103.837514,Child Care Services
pt_03020c20a39eacf2,1.344351,103.697497,Child Care Services
pt_033db7b11cc068d9,1.342706,103.953025,Child Care Services
pt_039db3500cb36a7a,1.288405,103.811344,Child Care Services
pt_039f998646b5fed9,1.340638,103.856983,Child Care Services
pt_03a1f1b89f129f7c,1.313951,103.885236,Child Care Services
pt_03aba978d8a43f0c,1.310396,103.839901,Child Care Services
pt_03b8a93ceb0f4529,1.394590,103.878281,Child Care Services
pt_03ca4b4fa993bc06,1.361433,103.952686,Child Care Services
pt_04223286c7f23092,1.434079,103.786743,Child Care Services
pt_04316ab8c1bb8f40,1.339160,103.869452,Child Care Services
pt_0439c45b70dcd787,1.345505,103.953954,Child Care Services
pt_0462ddc21a4a6a08,1.393374,103.900408,Child Care Services
pt_04bf5cbbc22b9aa1,1.335496,103.792631,Child Care Services
pt_04ccd98f18dff86e,1.280547,103.811572,Child Care Services
pt_04eaea51e3dcb4bd,1.406536,103.901988,Child Care Services
pt_0518ff7e0a501edf,1.378403,103.759751,Child Care Services
pt_0546b04d85db7a95,1.432090,103.846198,Child Care Services
pt_05974477bba1a670,1.337023,103.910577,Child Care Services
pt_05f7738af0b38581,1.430132,103.790642,Child Care Services
pt_06392c75507a9e3c,1.290128,103.816552,Child Care Services
pt_066966d34772be9e,1.316266,103.862529,Child Care Services
pt_066b5d3fc20f0497,1.375025,103.752113,Child Care Services
pt_06af2227fe10a062,1.309761,103.913935,Child Care Services
pt_06c5e1c6055b761e,1.358095,103.833356,Child Care Services
pt_06e2ba4347438092,1.352410,103.886492,Child Care Services
pt_07055dee264b38ba,1.354314,103.722396,Child Care Services
pt_0728e62e9bbb5272,1.357579,103.869892,Child Care Services
pt_074014978b52b4f2,1.316440,103.835488,Child Care Services
pt_075b139a4a42a9f7,1.324890,103.944841,Child Care Services
pt_0768929cd6adfd4e,1.277910,103.822536,Child Care Services
pt_076b6cf7f5eb170c,1.366519,103.955623,Child Care Services
pt_080e8dd86e4408af,1.356985,103.935334,Child Care Services
pt_086cbc0f2fc552af,1.348045,103.957046,Child Care Services
pt_0876f746215f9fcf,1.379569,103.744327,Child Care Services
pt_08b6ed2dd06290d3,1.388344,103.901265,Child Care Services
pt_08e8a27627c04ba4,1.300591,103.884749,Child Care Services
pt_091de3d31381e635,1.402486,103.916751,Child Care Services
pt_0943e206d57f5e7d,1.393328,103.886618,Child Care Services
pt_0948f04bfc9e4f38,1.354615,103.947117,Child Care Services
pt_0951ed549207d877,1.419270,103.909060,Child Care Services
pt_095d5f93316e59ce,1.352643,103.942895,Child Care Services
pt_0967f37545e5eeb6,1.332572,103.848053,Child Care Services
pt_0a0c8d31383b3ede,1.428839,103.845810,Child Care Services
pt_0a1e7d8013a8318e,1.422186,103.832360,Child Care Services
pt_0a2102fe79f268cc,1.439497,103.791761,Child Care Services
pt_0a4de242dfb0001c,1.375841,103.737757,Child Care Services
pt_0a59fee710a10527,1.317987,103.841298,Child Care Services
pt_0ac9e11242791d3f,1.324487,103.866368,Child Care Services
pt_0ad7a700d07040ed,1.309567,103.880381,Child Care Services
pt_0b0393f1e32cf109,1.348424,103.841569,Child Care Services
pt_0b82c961511fcda7,1.325782,103.766715,Child Care Services
pt_0ba3ed1495276846,1.345326,103.870681,Child Care Services
pt_0bce41b28c997cd4,1.307600,103.893018,Child Care Services
pt_0bf5c9b0ac999b83,1.338626,103.847769,Child Care Services
pt_0c1493a770390055,1.444562,103.800812,Child Care Services
pt_0c25b32ee8087226,1.333299,103.788799,Child Care Services
pt_0c6e6af888f2a1cb,1.321716,103.845389,Child Care Services
pt_0d0c1193edfcba33,1.334025,103.742586,Child Care Services
pt_0d2f8e8f17ea192b,1.315148,103.836320,Child Care Services
pt_0d783fb6a2695065,1.351043,103.715983,Child Care Services
