point_id,dataset_id,dataset_source,postal_code,street_address
pt_002770d62294969c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0083fd6252a36971,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_008ed3ceeb4866aa,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_00ac98e0d8cfffdb,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_00d933b481360d14,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_011c6c2912a08eed,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_01380142292094bb,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_015a0af4912f32f4,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_01731ead04aa17d6,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0173cff85dfd446b,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_017a0890591e2670,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_019750645753b1c8,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0262132905b3cfc9,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0267066db0ce84a8,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_02dfcfe4480a8510,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_03020c20a39eacf2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_033db7b11cc068d9,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_039db3500cb36a7a,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_039f998646b5fed9,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_03a1f1b89f129f7c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_03aba978d8a43f0c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_03b8a93ceb0f4529,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_03ca4b4fa993bc06,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_04223286c7f23092,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_04316ab8c1bb8f40,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0439c45b70dcd787,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0462ddc21a4a6a08,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_04bf5cbbc22b9aa1,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_04ccd98f18dff86e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_04eaea51e3dcb4bd,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0518ff7e0a501edf,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0546b04d85db7a95,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_05974477bba1a670,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_05f7738af0b38581,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_06392c75507a9e3c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_066966d34772be9e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_066b5d3fc20f0497,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_06af2227fe10a062,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_06c5e1c6055b761e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_06e2ba4347438092,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_07055dee264b38ba,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0728e62e9bbb5272,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_074014978b52b4f2,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_075b139a4a42a9f7,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0768929cd6adfd4e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_076b6cf7f5eb170c,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_080e8dd86e4408af,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_086cbc0f2fc552af,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0876f746215f9fcf,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_08b6ed2dd06290d3,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_08e8a27627c04ba4,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_091de3d31381e635,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0943e206d57f5e7d,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0948f04bfc9e4f38,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0951ed549207d877,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_095d5f93316e59ce,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0967f37545e5eeb6,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0a0c8d31383b3ede,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
pt_0a1e7d8013a8318e,d_5d668e3f544335f8028f546827b773b4,Child Care Services,,Child Care Services
