od_id,origin_point_id,origin_lat,origin_lon,origin_dataset_source,dest_point_id,dest_lat,dest_lon,dest_dataset_source,distance_km,distance_bucket
run20260221000458_000001,pt_6e4487858dba63a0,1.299651,103.798032,Hawker Centres,pt_509853366fc6dd22,1.380471,103.755211,Child Care Services,10.169630,8_20km
run20260221000458_000002,pt_d34f9351c4d35e6f,1.343741,103.741479,Child Care Services,pt_5bc4e382fdb77421,1.326727,103.810689,Child Care Services,7.922901,3_8km
run20260221000458_000003,pt_4717433096d2fb97,1.373684,103.871417,Child Care Services,pt_44dde93c0b135a8f,1.444573,103.829993,Community Club / PAssion WaVe Outlet,9.128934,8_20km
run20260221000458_000004,pt_ad33ee8a68235563,1.360929,103.892551,Child Care Services,pt_358775f46f3f316d,1.331815,103.947574,Child Care Services,6.920474,3_8km
run20260221000458_000005,pt_d18ccd614b38f163,1.331367,103.855870,Child Care Services,pt_8ad77c4d4cf3ca2c,1.277368,103.818652,Hawker Centres,7.291839,3_8km
run20260221000458_000006,pt_981090eeccba1dd5,1.376071,103.880924,Child Care Services,pt_8547ea85c48b7c61,1.395502,103.885784,Child Care Services,2.227147,1_3km
run20260221000458_000007,pt_64ef8eaef3bf37c9,1.300589,103.824479,Child Care Services,pt_e9b448dcc0d5ec00,1.333563,103.886388,Child Care Services,7.797916,3_8km
run20260221000458_000008,pt_de68953e66e32f74,1.311073,103.794876,Hawker Centres,pt_f2e191ef3481252a,1.340534,103.771576,Community Club / PAssion WaVe Outlet,4.176180,3_8km
run20260221000458_000009,pt_f99b00ca248b1f3e,1.383047,103.770464,Child Care Services,pt_ea5d6a1b93afe7c8,1.445612,103.796777,Child Care Services,7.546795,3_8km
run20260221000458_000010,pt_914074f88c0ba3ba,1.334410,103.875537,Child Care Services,pt_790c08af1d51db5a,1.315989,103.889448,Child Care Services,2.566522,1_3km
run20260221000458_000011,pt_51f7a555c98f3139,1.340788,103.775215,Hawker Centres,pt_b7965b0c44ffb4b0,1.304511,103.791460,Child Care Services,4.419603,3_8km
run20260221000458_000012,pt_ce1e2ba7d7c9de78,1.305105,103.912660,Child Care Services,pt_ca25d9dd747ef3fa,1.301895,103.887506,Child Care Services,2.818962,1_3km
run20260221000458_000013,pt_36643dc6436da61d,1.314139,103.824251,Child Care Services,pt_f2463d8899e8d2fd,1.389305,103.907599,Child Care Services,12.478107,8_20km
run20260221000458_000014,pt_0262132905b3cfc9,1.301529,103.829090,Child Care Services,pt_bf19ae6f75903847,1.316900,103.880328,Child Care Services,5.946829,3_8km
run20260221000458_000015,pt_83f1f06570e1f8ec,1.354776,103.933980,Child Care Services,pt_fec1c4b72bc3d5ff,1.331222,103.913800,Child Care Services,3.448476,3_8km
run20260221000458_000016,pt_358775f46f3f316d,1.331815,103.947574,Child Care Services,pt_a62eda8166184a24,1.321138,103.938106,Child Care Services,1.586597,1_3km
run20260221000458_000017,pt_4e57bf9b734dfd30,1.362138,103.841286,Community Club / PAssion WaVe Outlet,pt_b9c89cc9bd1b685e,1.375725,103.849934,Child Care Services,1.790728,1_3km
run20260221000458_000018,pt_59a9f213723c537d,1.324275,103.892702,Child Care Services,pt_3ea01eed77798d07,1.392908,103.890675,Child Care Services,7.634967,3_8km
run20260221000458_000019,pt_4ab0b218a6dba7c4,1.345087,103.717978,Child Care Services,pt_8c164560bc6c0ecd,1.373007,103.837612,Child Care Services,13.656516,8_20km
run20260221000458_000020,pt_c7167261e8861121,1.279231,103.846619,Hawker Centres,pt_f551bbd3163166a7,1.288365,103.811949,Child Care Services,3.985738,3_8km
run20260221000458_000021,pt_93c6fbaa555457cf,1.320131,103.840794,Child Care Services,pt_21d0e3de2ffe0c62,1.374240,103.839489,Child Care Services,6.018395,3_8km
run20260221000458_000022,pt_65e10c32babb77a5,1.348841,103.949335,Child Care Services,pt_30f529fb8cdc711f,1.356313,103.935484,Child Care Services,1.749595,1_3km
run20260221000458_000023,pt_a08fc17606ef170a,1.387763,103.761356,Community Club / PAssion WaVe Outlet,pt_cf59661f91d56ebd,1.382477,103.752528,Child Care Services,1.143903,1_3km
run20260221000458_000024,pt_4c83753577054457,1.360189,103.880971,Child Care Services,pt_cb1c28f7e8fa2c48,1.419191,103.841581,Child Care Services,7.887707,3_8km
run20260221000458_000025,pt_b9b2fbcdf303b505,1.331668,103.850487,Child Care Services,pt_117db65927ab74d3,1.380708,103.846500,Child Care Services,5.470981,3_8km
run20260221000458_000026,pt_cd4c2a04a80a8304,1.386428,103.826664,Child Care Services,pt_0b2789dcac22ef2b,1.439750,103.800721,Hawker Centres,6.593274,3_8km
run20260221000458_000027,pt_387452e921784184,1.392848,103.745914,Child Care Services,pt_2e493f7c070d4058,1.383721,103.763128,Child Care Services,2.166019,1_3km
run20260221000458_000028,pt_2fc237b52f178716,1.398468,103.744646,Child Care Services,pt_85ad58052f6b2d48,1.395399,103.898745,Child Care Services,17.133333,8_20km
run20260221000458_000029,pt_45dedc7680c286ee,1.332908,103.866169,Child Care Services,pt_2ab63f4c1e32e8c3,1.291146,103.849834,Child Care Services,4.986143,3_8km
run20260221000458_000030,pt_33a8470acbcc0bf1,1.364757,103.892622,Child Care Services,pt_822cf0ec81f38071,1.365628,103.871831,Child Care Services,2.313226,1_3km
run20260221000458_000031,pt_346c0c6c37dce9aa,1.343488,103.737738,Hawker Centres,pt_9fdacc5bb489a5a6,1.416005,103.844252,Child Care Services,14.325328,8_20km
run20260221000458_000032,pt_c38c507ef7b45b56,1.379395,103.839157,Child Care Services,pt_9fa3d776b284cf7e,1.398471,103.907769,Child Care Services,7.916528,3_8km
run20260221000458_000033,pt_a6040f5624288532,1.327948,103.870282,Child Care Services,pt_d3baf549f97144ea,1.371323,103.874086,Child Care Services,4.841582,3_8km
run20260221000458_000034,pt_a5e5f1840f193bcd,1.351578,103.718511,Child Care Services,pt_1f40cdce910a6d47,1.339783,103.700668,Child Care Services,2.377906,1_3km
run20260221000458_000035,pt_b317f676c415113c,1.390612,103.879964,Child Care Services,pt_9fdacc5bb489a5a6,1.416005,103.844252,Child Care Services,4.871539,3_8km
run20260221000458_000036,pt_d47f8beeaff1482e,1.347364,103.876770,Child Care Services,pt_a6b27a94b33d17d1,1.333726,103.855718,Child Care Services,2.788620,1_3km
run20260221000458_000037,pt_d47f8beeaff1482e,1.347364,103.876770,Child Care Services,pt_822cf0ec81f38071,1.365628,103.871831,Child Care Services,2.103771,1_3km
run20260221000458_000038,pt_62a371240ef7eba1,1.309235,103.886827,Community Club / PAssion WaVe Outlet,pt_a2530196b108ba2b,1.329436,103.870868,Child Care Services,2.862346,1_3km
run20260221000458_000039,pt_50ad3e12215132a7,1.306206,103.799132,Child Care Services,pt_324d4543e597a65a,1.442533,103.789612,Child Care Services,15.195766,8_20km
run20260221000458_000040,pt_1d3d6c8eebb36800,1.354303,103.950965,Child Care Services,pt_56ea09e1b82bcbe5,1.322420,103.949903,Child Care Services,3.547193,3_8km
run20260221000458_000041,pt_0e4c6d7d3de2c10e,1.325922,103.925810,Child Care Services,pt_ccd42830b1a1feb5,1.371711,103.871233,Child Care Services,7.920351,3_8km
run20260221000458_000042,pt_e244922ba96f6daa,1.358359,103.872182,Child Care Services,pt_0eab10a1bff029a1,1.390234,103.860062,Child Care Services,3.791772,3_8km
run20260221000458_000043,pt_71194ac1141e0912,1.356289,103.750410,Child Care Services,pt_1a8bf120ff17ae46,1.379394,103.752949,Child Care Services,2.584616,1_3km
run20260221000458_000044,pt_336b2eadbdc2a705,1.381155,103.751904,Community Club / PAssion WaVe Outlet,pt_87eb1f48f7943690,1.357876,103.759941,Child Care Services,2.738350,1_3km
run20260221000458_000045,pt_512bae3f6b84a739,1.445653,103.831433,Child Care Services,pt_997910c824cf7450,1.345512,103.758897,Child Care Services,13.748014,8_20km
run20260221000458_000046,pt_cae5b7b999b6b652,1.309568,103.913675,Child Care Services,pt_a449a13922b8011f,1.436781,103.843619,Child Care Services,16.147468,8_20km
run20260221000458_000047,pt_ef0876d099bb2d49,1.303056,103.796483,Child Care Services,pt_8867a791e0ae52ea,1.292703,103.810959,Child Care Services,1.978619,1_3km
run20260221000458_000048,pt_477a3a3ddd297158,1.301211,103.872905,Child Care Services,pt_201826e0a5ceb7c5,1.300614,103.842228,Child Care Services,3.410894,3_8km
run20260221000458_000049,pt_3511bc910bee4fc9,1.357946,103.845494,Child Care Services,pt_cb847bb413d41666,1.378292,103.837252,Child Care Services,2.440853,1_3km
run20260221000458_000050,pt_bd6e72076b1ee356,1.374448,103.951823,SportSG Sport Facilities,pt_ce078fa5698981ce,1.348692,103.950428,Child Care Services,2.868132,1_3km
run20260221000458_000051,pt_acb9d052e9825379,1.293190,103.811253,Child Care Services,pt_eb9839e78e517e68,1.319490,103.841975,Child Care Services,4.496238,3_8km
run20260221000458_000052,pt_227d774509909365,1.317035,103.879310,Hawker Centres,pt_2bcd4205d6dcbe24,1.356605,103.883651,Child Care Services,4.426367,3_8km
run20260221000458_000053,pt_96fd4a4de0f5396d,1.356800,103.886248,Child Care Services,pt_b317f676c415113c,1.390612,103.879964,Child Care Services,3.824067,3_8km
run20260221000458_000054,pt_b89e94d01de9c16d,1.312229,103.922621,Child Care Services,pt_6a594b701b65724d,1.314137,103.898749,Child Care Services,2.662215,1_3km
run20260221000458_000055,pt_4560309f01a74fc1,1.336676,103.783709,Child Care Services,pt_1642434750fad266,1.281821,103.847398,Child Care Services,9.345166,8_20km
run20260221000458_000056,pt_209c9d94b88c633f,1.347091,103.854878,Child Care Services,pt_f2463d8899e8d2fd,1.389305,103.907599,Child Care Services,7.508697,3_8km
run20260221000458_000057,pt_a74fd2584721381c,1.327925,103.723339,Child Care Services,pt_c60863b146b86774,1.347793,103.719591,Child Care Services,2.248166,1_3km
run20260221000458_000058,pt_d5ce63786e10131e,1.408748,103.905169,Hawker Centres,pt_1c721771ab0d6835,1.381248,103.945639,Child Care Services,5.439581,3_8km
run20260221000458_000059,pt_c9b451990a4fb5c4,1.385298,103.900029,Child Care Services,pt_d81f4be36543cd51,1.323537,103.884481,Community Club / PAssion WaVe Outlet,7.081665,3_8km
run20260221000458_000060,pt_195575834bf4b59a,1.382345,103.942370,Child Care Services,pt_8bcda5b43846b298,1.393160,103.885660,Child Care Services,6.417693,3_8km
run20260221000458_000061,pt_a1166c7abfbc1f0c,1.424255,103.845482,Child Care Services,pt_270399e60022e53c,1.349936,103.875056,Child Care Services,8.893803,8_20km
run20260221000458_000062,pt_5742ba1169ef249b,1.377480,103.890340,Child Care Services,pt_8e0f3df0de5a9840,1.380600,103.867424,Child Care Services,2.570920,1_3km
run20260221000458_000063,pt_8f86357fe67880f0,1.443376,103.772918,Child Care Services,pt_f313e23ad8bc9a3a,1.430449,103.772774,Child Care Services,1.437506,1_3km
run20260221000458_000064,pt_f02e3547f2fa9e2d,1.368749,103.948913,Child Care Services,pt_eb8f244abd15bb01,1.379735,103.962240,Child Care Services,1.920163,1_3km
run20260221000458_000065,pt_b0ac98f227158158,1.376295,103.882146,Child Care Services,pt_91d9fe766c58b7ac,1.328851,103.869185,Child Care Services,5.468741,3_8km
run20260221000458_000066,pt_b88b8b29e50057cc,1.314618,103.865922,Child Care Services,pt_be4b64be17b787a3,1.293069,103.827034,Child Care Services,4.942678,3_8km
run20260221000458_000067,pt_55ec2f9206fae514,1.293273,103.799915,Child Care Services,pt_64ef8eaef3bf37c9,1.300589,103.824479,Child Care Services,2.849292,1_3km
run20260221000458_000068,pt_879ff657109fa150,1.377909,103.942281,Child Care Services,pt_2135dd32622d9e20,1.338475,103.849513,Hawker Centres,11.205948,8_20km
run20260221000458_000069,pt_59fcc96601fd2a0a,1.326130,103.927924,Child Care Services,pt_42ee0c83d47a96b4,1.345178,103.790537,Child Care Services,15.418755,8_20km
run20260221000458_000070,pt_76592241eac25deb,1.434998,103.831125,Child Care Services,pt_90d39d94a8670e0e,1.348486,103.752598,Child Care Services,12.989917,8_20km
run20260221000458_000071,pt_47abed571500860c,1.303723,103.835240,Child Care Services,pt_7b97feb49857fb94,1.316693,103.838324,Child Care Services,1.482387,1_3km
run20260221000458_000072,pt_b0468c84764cce5d,1.293818,103.804887,Child Care Services,pt_e076940387ecf710,1.286680,103.813766,Child Care Services,1.266586,1_3km
run20260221000458_000073,pt_83aa92df5cdb0988,1.286680,103.813766,SportSG Sport Facilities,pt_6214719a76361ea7,1.297338,103.814907,Child Care Services,1.191884,1_3km
run20260221000458_000074,pt_066b5d3fc20f0497,1.375025,103.752113,Child Care Services,pt_c028f739157694f2,1.350023,103.746498,Child Care Services,2.849304,1_3km
run20260221000458_000075,pt_78b669af0abeda93,1.387216,103.829163,Child Care Services,pt_9fb17ee70506b418,1.441767,103.824495,Child Care Services,6.087949,3_8km
run20260221000458_000076,pt_5bce56ab36c67a60,1.348292,103.941192,Child Care Services,pt_1525d927dd40f8dc,1.331434,103.936865,Child Care Services,1.935255,1_3km
run20260221000458_000077,pt_374b013859553791,1.376677,103.838361,Child Care Services,pt_aca4de33245dacf6,1.424988,103.844748,Hawker Centres,5.418653,3_8km
run20260221000458_000078,pt_a66d39080dc53e34,1.322612,103.920876,Child Care Services,pt_2f2cdf03a41b3fb1,1.332536,103.867037,Community Club / PAssion WaVe Outlet,6.085896,3_8km
run20260221000458_000079,pt_c70fb781887e3636,1.297526,103.852133,Child Care Services,pt_490093b6aeb1e8fd,1.311894,103.841977,Child Care Services,1.956305,1_3km
run20260221000458_000080,pt_d99b46058e5bb971,1.352920,103.929501,Child Care Services,pt_15c202205634994d,1.352774,103.942492,Child Care Services,1.444222,1_3km
run20260221000458_000081,pt_cd18248d1744c70e,1.354960,103.958521,Child Care Services,pt_314de35b33811c5f,1.326597,103.885052,Hawker Centres,8.754931,8_20km
run20260221000458_000082,pt_333d090c3e08d639,1.446799,103.805490,Child Care Services,pt_765396d528536451,1.342764,103.855873,Child Care Services,12.852625,8_20km
run20260221000458_000083,pt_c3da1ccf4fb858f0,1.357397,103.849430,Child Care Services,pt_cde2ff37e224c39b,1.310045,103.769124,Child Care Services,10.364281,8_20km
run20260221000458_000084,pt_914074f88c0ba3ba,1.334410,103.875537,Child Care Services,pt_ed4ca3d45e11f5fd,1.358857,103.889428,Child Care Services,3.126356,3_8km
run20260221000458_000085,pt_2672a9e9d4563d81,1.344062,103.766278,Child Care Services,pt_5b62e43f6f8cb30f,1.346775,103.753336,Child Care Services,1.469976,1_3km
run20260221000458_000086,pt_b31c152e2d34b2ba,1.353357,103.954620,Community Club / PAssion WaVe Outlet,pt_9bc90a27f2d1d440,1.374159,103.897685,Child Care Services,6.738524,3_8km
run20260221000458_000087,pt_918e34a80761ff91,1.370670,103.897529,Child Care Services,pt_59bbf60e5ed7104e,1.392220,103.886427,Child Care Services,2.695383,1_3km
run20260221000458_000088,pt_b77d04de675e4311,1.402483,103.744473,Child Care Services,pt_108f9842e2174863,1.441682,103.785985,Child Care Services,6.347610,3_8km
