od_id,run_id,origin_point_id,origin_dataset_source,origin_lat,origin_lon,dest_point_id,dest_dataset_source,dest_lat,dest_lon,distance_km,distance_bucket,actual_duration_s,route_distance_m,timestamp_iso,label_source,dataset_attribution
run20260221000458_000001,run20260221000458,pt_6e4487858dba63a0,Hawker Centres,1.299651,103.798032,pt_509853366fc6dd22,Child Care Services,1.380471,103.755211,10.169630,8_20km,1641.000,15655.000,2026-02-21T00:05:02.158844+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000002,run20260221000458,pt_d34f9351c4d35e6f,Child Care Services,1.343741,103.741479,pt_5bc4e382fdb77421,Child Care Services,1.326727,103.810689,7.922901,3_8km,1104.000,9981.000,2026-02-21T00:05:02.750295+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000003,run20260221000458,pt_4717433096d2fb97,Child Care Services,1.373684,103.871417,pt_44dde93c0b135a8f,Community Club / PAssion WaVe Outlet,1.444573,103.829993,9.128934,8_20km,1560.000,13037.000,2026-02-21T00:05:03.444329+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000004,run20260221000458,pt_ad33ee8a68235563,Child Care Services,1.360929,103.892551,pt_358775f46f3f316d,Child Care Services,1.331815,103.947574,6.920474,3_8km,1178.000,11051.000,2026-02-21T00:05:04.012857+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000005,run20260221000458,pt_d18ccd614b38f163,Child Care Services,1.331367,103.855870,pt_8ad77c4d4cf3ca2c,Hawker Centres,1.277368,103.818652,7.291839,3_8km,1148.000,12465.000,2026-02-21T00:05:04.475042+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000006,run20260221000458,pt_981090eeccba1dd5,Child Care Services,1.376071,103.880924,pt_8547ea85c48b7c61,Child Care Services,1.395502,103.885784,2.227147,1_3km,506.000,3699.000,2026-02-21T00:05:04.999384+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000007,run20260221000458,pt_64ef8eaef3bf37c9,Child Care Services,1.300589,103.824479,pt_e9b448dcc0d5ec00,Child Care Services,1.333563,103.886388,7.797916,3_8km,932.000,9471.000,2026-02-21T00:05:05.529224+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000008,run20260221000458,pt_de68953e66e32f74,Hawker Centres,1.311073,103.794876,pt_f2e191ef3481252a,Community Club / PAssion WaVe Outlet,1.340534,103.771576,4.176180,3_8km,694.000,5827.000,2026-02-21T00:05:06.149648+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000009,run20260221000458,pt_f99b00ca248b1f3e,Child Care Services,1.383047,103.770464,pt_ea5d6a1b93afe7c8,Child Care Services,1.445612,103.796777,7.546795,3_8km,1339.000,12554.000,2026-02-21T00:05:06.658431+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_000010,run20260221000458,pt_914074f88c0ba3ba,Child Care Services,1.334410,103.875537,pt_790c08af1d51db5a,Child Care Services,1.315989,103.889448,2.566522,1_3km,543.000,4214.000,2026-02-21T00:05:07.159697+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
